,Adoption (P1),Student-facing use (P2)
AI-benefit beliefs,"2.31 [2.25, 2.37]***","1.38 [1.34, 1.43]***"
Received AI Training,"2.02 [1.98, 2.06]***","1.14 [1.10, 1.17]***"
Digital self-efficacy,"1.25 [1.23, 1.28]***","1.11 [1.08, 1.15]***"
Professional collaboration,"1.10 [1.08, 1.13]***","1.23 [1.19, 1.27]***"
Digital preparedness,"1.10 [1.07, 1.13]***","1.08 [1.04, 1.13]***"
Workload stress,"1.07 [1.05, 1.10]***","1.01 [0.98, 1.05]"
Number of schools,"1.02 [1.00, 1.04]*","1.06 [1.03, 1.09]***"
Change fatigue,"1.01 [0.99, 1.03]","1.01 [0.98, 1.04]"
Job satisfaction,"1.01 [0.99, 1.03]","0.95 [0.92, 0.99]**"
Teaching hours,"1.00 [0.98, 1.02]","1.05 [1.02, 1.08]**"
Student-behaviour stress,"0.96 [0.94, 0.98]***","1.02 [0.99, 1.06]"
AI-risk beliefs,"0.95 [0.93, 0.97]***","0.96 [0.93, 0.99]*"
Teacher leadership,"0.94 [0.92, 0.96]***","1.04 [1.01, 1.08]**"
Perceived value & influence,"0.93 [0.91, 0.95]***","1.12 [1.07, 1.16]***"
General preparation,"0.90 [0.87, 0.92]***","1.06 [1.02, 1.10]**"
Age group,"0.83 [0.81, 0.84]***","1.21 [1.18, 1.25]***"
