r_with_Q36,N
0.409,84770
-0.168,87543
-0.161,89566
-0.135,87459
-0.127,89610
0.12,87952
-0.116,87571
-0.113,89575
-0.106,89648
-0.104,89528
0.1,88497
-0.093,88900
-0.091,87476
-0.08,87612
-0.077,87400
-0.076,88464
-0.068,85938
-0.062,87331
-0.061,89619
-0.059,88876
-0.056,88406
-0.056,85903
-0.053,85719
-0.051,89072
-0.051,87638
-0.044,87084
-0.042,88292
-0.037,88293
0.028,87890
-0.028,88170
0.024,88646
-0.019,88469
0.016,89210
-0.011,88635
0.01,88352
0.008,86304
0.008,83586
-0.006,88370
0.003,87136
